Category,Item,Value
Feature,amount,
Feature,login_frequency,
Feature,session_duration,
Feature,amount_per_login,
Feature,duration_per_login,
Feature,location_region_Africa,
Feature,location_region_Asia,
Feature,location_region_Europe,
Feature,location_region_North America,
Feature,location_region_South America,
Feature,ip_prefix_10.0,
Feature,ip_prefix_172.0,
Feature,ip_prefix_172.16,
Feature,ip_prefix_192.0,
Feature,ip_prefix_192.168,
Feature,purchase_pattern_focused,
Feature,purchase_pattern_high_value,
Feature,purchase_pattern_random,
Feature,age_group_established,
Feature,age_group_new,
Feature,age_group_veteran,
Feature,day_of_week_0,
Feature,day_of_week_1,
Feature,day_of_week_2,
Feature,day_of_week_3,
Feature,day_of_week_4,
Feature,day_of_week_5,
Feature,day_of_week_6,
Feature,month_1,
Feature,month_2,
Feature,month_3,
Feature,month_4,
Feature,month_5,
Feature,month_6,
Feature,month_7,
Feature,month_8,
Feature,month_9,
Feature,month_10,
Feature,month_11,
Feature,month_12,
Feature,is_weekend_0,
Feature,is_weekend_1,
Feature,time_of_day_afternoon,
Feature,time_of_day_evening,
Feature,time_of_day_morning,
Feature,time_of_day_night,
Feature,same_address_flag_0,
Feature,same_address_flag_1,
Hyperparameter,n_estimators,"[100, 200, 300]"
Hyperparameter,max_depth,"[None, 10, 20, 30]"
Hyperparameter,min_samples_split,"[2, 5, 10]"
Hyperparameter,min_samples_leaf,"[1, 2, 4]"
Metric,Precision,0.24457478005865102
Metric,Recall,1.0
Metric,F1 Score,0.3930254476908577
